"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000676882","82.1.15","1516","","","","0"
"2023","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000676882","82.1.15","1570","","","","0"
"2015","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000676883","82.1.16","","..","","","2"
"2016","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000676883","82.1.16","","..","","","2"
"2017","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000676883","82.1.16","2.10","","","","2"
"2018","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000676883","82.1.16","2.04","","","","2"
"2019","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000676883","82.1.16","1.88","","","","2"
"2020","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000676883","82.1.16","1.71","","","","2"
"2021","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000676883","82.1.16","1.65","","","","2"
"2022","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000676883","82.1.16","1.42","","","","2"
"2023","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000676883","82.1.16","1.35","","","","2"
"2015","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Total cleared","Number","223","units","0","v67953305","82.1.4","37314","","","","0"
"2016","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Total cleared","Number","223","units","0","v67953305","82.1.4","35373","","","","0"
"2017","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Total cleared","Number","223","units","0","v67953305","82.1.4","36632","","","","0"
"2018","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Total cleared","Number","223","units","0","v67953305","82.1.4","35657","","","","0"
"2019","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Total cleared","Number","223","units","0","v67953305","82.1.4","37368","","","","0"
"2020","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Total cleared","Number","223","units","0","v67953305","82.1.4","33536","","","","0"
"2021","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Total cleared","Number","223","units","0","v67953305","82.1.4","30937","","","","0"
"2022","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Total cleared","Number","223","units","0","v67953305","82.1.4","32988","","","","0"
"2023","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Total cleared","Number","223","units","0","v67953305","82.1.4","37257","","","","0"
"2015","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared by charge","Number","223","units","0","v67953306","82.1.5","30560","","","","0"
"2016","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared by charge","Number","223","units","0","v67953306","82.1.5","28740","","","","0"
"2017","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared by charge","Number","223","units","0","v67953306","82.1.5","29646","","","","0"
"2018","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared by charge","Number","223","units","0","v67953306","82.1.5","28299","","","","0"
"2019","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared by charge","Number","223","units","0","v67953306","82.1.5","29578","","","","0"
"2020","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared by charge","Number","223","units","0","v67953306","82.1.5","26231","","","","0"
"2021","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared by charge","Number","223","units","0","v67953306","82.1.5","25187","","","","0"
"2022","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared by charge","Number","223","units","0","v67953306","82.1.5","27554","","","","0"
"2023","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared by charge","Number","223","units","0","v67953306","82.1.5","31151","","","","0"
"2015","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v67953307","82.1.6","6754","","","","0"
"2016","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v67953307","82.1.6","6633","","","","0"
"2017","Montréal, Quebec, municipal [24175]","2021A002524175","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v67953307","82.1.6","6986","","","","0"
