"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000549810","158.1.15","68","","","","0"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000549810","158.1.15","87","","","","0"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000549810","158.1.15","111","","","","0"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000549811","158.1.16","","..","","","2"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000549811","158.1.16","","..","","","2"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000549811","158.1.16","2.97","","","","2"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000549811","158.1.16","1.55","","","","2"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000549811","158.1.16","1.90","","","","2"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000549811","158.1.16","1.45","","","","2"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000549811","158.1.16","1.50","","","","2"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000549811","158.1.16","1.48","","","","2"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000549811","158.1.16","1.77","","","","2"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total cleared","Number","223","units","0","v66991379","158.1.4","1450","","","","0"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total cleared","Number","223","units","0","v66991379","158.1.4","1581","","","","0"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total cleared","Number","223","units","0","v66991379","158.1.4","1722","","","","0"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total cleared","Number","223","units","0","v66991379","158.1.4","1614","","","","0"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total cleared","Number","223","units","0","v66991379","158.1.4","1636","","","","0"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total cleared","Number","223","units","0","v66991379","158.1.4","1779","","","","0"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total cleared","Number","223","units","0","v66991379","158.1.4","1619","","","","0"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total cleared","Number","223","units","0","v66991379","158.1.4","1834","","","","0"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total cleared","Number","223","units","0","v66991379","158.1.4","2224","","","","0"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66991380","158.1.5","1080","","","","0"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66991380","158.1.5","1165","","","","0"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66991380","158.1.5","1286","","","","0"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66991380","158.1.5","1240","","","","0"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66991380","158.1.5","1311","","","","0"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66991380","158.1.5","1353","","","","0"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66991380","158.1.5","1295","","","","0"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66991380","158.1.5","1505","","","","0"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared by charge","Number","223","units","0","v66991380","158.1.5","1721","","","","0"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66991381","158.1.6","370","","","","0"
"2016","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66991381","158.1.6","416","","","","0"
"2017","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66991381","158.1.6","436","","","","0"
"2018","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66991381","158.1.6","374","","","","0"
"2019","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66991381","158.1.6","325","","","","0"
"2020","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66991381","158.1.6","426","","","","0"
"2021","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66991381","158.1.6","324","","","","0"
"2022","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66991381","158.1.6","329","","","","0"
"2023","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v66991381","158.1.6","503","","","","0"
"2015","Fredericton, New Brunswick, municipal [13007]","2021A002513007","Total, all violations [0]","Total, persons charged","Number","223","units","0","v66991382","158.1.7","1035","","","","0"
