,,"Incident-Based Crime Statistics (rate per 100,000)",,,,
Ontario (7),"Impaired operation (drugs) vehicle, vessel, aircraft",0.65,2.48,2.62,2.41,2.22
Ontario (7),"Impaired operation, failure to provide breath sample",7.72,8.1,8.24,7.93,7.39
Ontario (7),Failure to comply or refusal (drugs),0.02,0.05,0.05,0.02,0.06
Ontario (7),"Impaired operation, failure to provide blood sample",0.22,0.13,0.14,0.07,0.04
Ontario (7),Failure to provide blood sample (drugs),0,0.02,0.02,0.01,0.04
Ontario (7),Total other Criminal Code traffic violations,118.74,122.25,117.61,118.09,111.18
Ontario (7),"Dangerous operation, causing death",0.2,0.22,0.18,0.16,0.08
Ontario (7),"Dangerous operation, causing bodily harm",1.21,1.07,1.1,0.85,0.98
Ontario (7),"Dangerous operation of motor vehicle, vessel or aircraft",20.66,18.78,17.82,16.83,17
Ontario (7),"Dangerous operation evading police, causing death",0.01,0.01,0,0,0
Ontario (7),"Dangerous operation evading police, causing bodily harm",0.05,0.07,0.06,0.04,0.05
Ontario (7),Dangerous operation of motor vehicle evading police,4.69,3.2,3.15,2.77,3.01
Ontario (7),Total fail to stop or remain (46),78.95,84.38,79.51,81.74,76.39
Ontario (7),Driving while prohibited,11.81,13.33,14.23,14.49,12.34
Ontario (7),Other Criminal Code traffic violations,1.03,0.99,1.26,0.94,1.04
Ontario (7),Causing death by criminal negligence while street racing,0.01,0,0.02,0,0
Ontario (7),Causing bodily harm by criminal negligence while street racing,,,0,0.01,0
Ontario (7),Dangerous operation causing death while street racing,,,0.01,0,0.01
Ontario (7),Dangerous operation causing bodily harm while street racing,0.02,0.02,0.02,0,0.01
Ontario (7),Dangerous operation of motor vehicle while street racing,0.11,0.2,0.24,0.26,0.27
Ontario (7),Total Federal Statute violations,320.87,306.86,319.76,317.63,315.68
Ontario (7),Total drug violations,245.15,233.61,246.66,252.96,243.58
Ontario (7),"Possession, cannabis",122.46,119.47,130.8,142.7,135.04
Ontario (7),"Possession, cocaine",26.65,17.66,17.11,17.5,17.73
Ontario (7),"Total, possession, other Controlled Drugs and Substances Act drugs",20.06,20.22,23.12,23.45,24.34
Ontario (7),"Heroin, possession",0.59,0.57,0.86,0.93,1.54
Ontario (7),"Other Controlled Drugs and Substances Act, possession",19.15,18.52,20.39,20.24,20.01
Ontario (7),"Methamphetamines (crystal meth), possession",0.16,0.64,1.27,1.68,2.3
Ontario (7),"Methylenedioxyamphetamine (ecstasy), possession",0.15,0.5,0.6,0.59,0.5
Ontario (7),"Total cannabis, trafficking, production or distribution",31.67,32.93,34.54,30.33,28.76
Ontario (7),"Cannabis, trafficking",21.01,22.02,23.14,21.98,19.14
Ontario (7),"Cannabis, importation and exportation",5.17,5.19,3.66,2.15,2.4
Ontario (7),"Cannabis, production",5.49,5.72,7.74,6.2,7.22
Ontario (7),"Total cocaine, trafficking, production or distribution",28.1,24,21.29,19.91,19.84
Ontario (7),"Cocaine, trafficking",26.82,22.3,19.99,18.5,18.4
Ontario (7),"Cocaine, importation and exportation",1.22,1.66,1.28,1.38,1.42
Ontario (7),"Cocaine, production",0.05,0.04,0.02,0.02,0.02
Ontario (7),"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",16.21,19.33,19.8,19.04,17.79
Ontario (7),"Heroin, trafficking",0.69,0.83,1.28,1.05,1.9
Ontario (7),"Other Controlled Drugs and Substances Act, trafficking",10.89,12.5,12.53,12.31,10.1
Ontario (7),"Methamphetamines (crystal meth), trafficking",0.1,0.3,0.54,0.7,0.89
Ontario (7),"Methylenedioxyamphetamine (ecstasy), trafficking",0.09,0.31,0.35,0.22,0.14
Ontario (7),"Heroin, importation and exportation",0.27,0.27,0.48,0.45,0.42
Ontario (7),"Other Controlled Drugs and Substances Act, importation and exportation",4.04,4.42,3.77,3.43,3.61
Ontario (7),"Methamphetamines (crystal meth), importation and exportation",0,0.01,0.01,0.01,0.01
Ontario (7),"Methylenedioxyamphetamine (ecstasy), importation and exportation",0,0.03,0.04,0.06,0.04
Ontario (7),"Heroin, production",0,0.01,0,0,0
Ontario (7),"Other Controlled Drugs and Substances Act, production",0.14,0.61,0.75,0.74,0.59
Ontario (7),"Methamphetamines (crystal meth), production",0.01,0.05,0.03,0.04,0.08
Ontario (7),"Methylenedioxyamphetamine (ecstasy), production",,,0.02,0.01,0.01
Ontario (7),"Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0.03,0.07
Ontario (7),Youth Criminal Justice Act,32.96,37.5,33.93,29.08,29.76
Ontario (7),Total other Federal Statutes,42.76,35.75,39.17,35.59,42.34
Ontario (7),Bankruptcy Act,0.15,0.11,0.1,0.24,0.3
Ontario (7),Income Tax Act,0.12,0.08,0.09,0.06,0.04
Ontario (7),Canada Shipping Act,8.59,9.06,9.85,9.42,6.91
Ontario (7),Canada Health Act,0.02,0.04,0.02,0.01,0.04
Ontario (7),Customs Act,0.5,0.49,0.48,0.72,0.79
Ontario (7),Competition Act,0,0,0,0,0
Ontario (7),Excise Act,6.46,6.78,5.85,3.28,3.13
Ontario (7),Total Immigration and Refugee Protection Act (46),6.66,1.42,0.82,2.52,3.48
Ontario (7),Firearms Act,0.9,1.38,2.79,1.48,0.98
Ontario (7),National Defense Act,0.02,0.01,0,0.01,0
Ontario (7),Other federal statutes,19.34,16.39,19.18,17.84,26.67
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total, all violations",5512.13,5322.31,5038.26,4823.18,4773.93
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total, all Criminal Code violations (including traffic)",5235.09,5059.01,4771.22,4542.7,4517.28
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total, all Criminal Code violations (excluding traffic)",4919.15,4741.72,4468.11,4259.04,4230.92
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total violent Criminal Code violations (16),916.03,912.97,840.57,822.59,798.88
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Homicide (17,24)",1.24,0.98,1.13,1.27,1.02
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total other violations causing death,0.08,0,0.16,0.08,0.08
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Attempted murder,1.9,2.12,2.1,1.11,1.1
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Sexual assault, level 3, aggravated",0.5,0.16,0.48,0.32,0.55
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Sexual assault, level 2, weapon or bodily harm",0.58,0.9,0.56,0.72,0.86
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Sexual assault, level 1",36.51,36.45,41.72,40.5,43.93
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total sexual violations against children (26),2.73,3.91,6.13,9.71,6.52
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Assault, level 3, aggravated",9.25,12.72,7.02,8.35,8.02
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Assault, level 2, weapon or bodily harm",91.11,87.66,81.1,73.84,71.27
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Assault, level 1",342.29,339.96,308.84,314.62,307.34
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total assaults against a peace officer (25,35)",26.93,27.56,23.89,23.79,26.17
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total other assaults,27.67,31.88,32.52,28.17,28.76
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total firearms; use of, discharge, pointing",2.97,2.77,3.95,4.06,4.16
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total robbery (18),87.23,96.96,78.12,77.18,70.65
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total forcible confinement or kidnapping (34),16.35,11.99,8.07,10.18,10.14
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total abduction,0.66,1.63,1.45,0.8,1.65
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Extortion,3.55,6.36,3.39,2.63,3.38
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Criminal harassment (36),41.96,44.93,41.48,40.34,41.49
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Uttering threats,142.73,133.81,127.91,123.89,118.19
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Threatening or harassing phone calls,74.75,64.01,61.98,51.8,42.59
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total other violent violations,5.04,6.2,8.55,9.23,11
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total property crime violations,3482.98,3347.39,3062.48,2901.42,2895.95
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total breaking and entering,457.85,443.36,418.67,360.93,365.33
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total possession of stolen property (42,46)",51.46,53.74,54.23,31.27,21.22
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total trafficking in stolen property (42,43,46)",0,0,0,0.48,0.55
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total theft of motor vehicle (46),211.37,197.74,149.46,125.64,130.84
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total theft over $5,000 (non-motor vehicle)",36.34,32.54,34.7,28.88,36.46
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total theft under $5,000 (non-motor vehicle)",1506.21,1491.2,1431.21,1429.78,1442.4
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Fraud (30),307.68,266.32,242.18,232.34,246.28
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Identity theft (30),0,0,2.82,3.5,4.4
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Identity fraud (30),0.17,0.24,17.83,35.97,44.4
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total mischief,886.13,833.3,687,631.22,580.34
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Arson,25.77,28.95,24.37,21.32,23.73
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0.08,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total other Criminal Code violations,520.13,481.36,565.06,535.03,536.09
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Counterfeiting (19),0.99,1.55,0.32,0.56,0.94
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total weapons violations,24.37,21.04,20.34,20.13,19.72
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Child pornography (27,50,52)",1.16,1.79,10.49,29.44,27.19
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total prostitution,7.76,4.81,3.31,2.55,3.93
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Disturb the peace (21),19.82,19.82,33.57,23.47,14.77
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total administration of justice violations,344.11,330.42,410.12,365.62,380.81
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total other violations,121.92,101.93,86.91,93.26,88.72
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total Criminal Code traffic violations,315.94,317.29,303.11,283.67,286.36
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total impaired driving (49),131.99,129.08,128.23,117.37,120.39
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation, causing death",0.17,0.08,0.4,0.08,0.08
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation (drugs), causing death",,,0,0,0.08
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation, causing bodily harm",0.91,1.22,1.13,0.48,0.71
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation (drugs), causing bodily harm",0.08,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation of motor vehicle, vessel or aircraft (51)",116.14,110.25,109.75,98.9,101.61
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation (drugs) vehicle, vessel, aircraft",0.41,3.02,2.58,3.5,4.01
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation, failure to provide breath sample",13.71,14.19,13.8,14.24,13.52
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Failure to comply or refusal (drugs),0.08,0.16,0.08,0,0.24
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Impaired operation, failure to provide blood sample",0.5,0.08,0.4,0.16,0.16
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Failure to provide blood sample (drugs),0,0.08,0.08,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total other Criminal Code traffic violations,183.95,188.2,174.88,166.3,165.97
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Dangerous operation, causing death",0.25,0,0.4,0.08,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Dangerous operation, causing bodily harm",0.66,0.98,0.97,0.64,0.63
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Dangerous operation of motor vehicle, vessel or aircraft",14.21,15.09,13.23,11.62,12.81
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Dangerous operation evading police, causing death",0,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Dangerous operation evading police, causing bodily harm",0,0.41,0.24,0.08,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Dangerous operation of motor vehicle evading police,3.22,3.91,3.39,3.9,3.06
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total fail to stop or remain (46),154.79,155.42,143.57,135.11,135.48
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Driving while prohibited,10.49,11.58,12.51,14.4,13.59
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Other Criminal Code traffic violations,0.25,0.24,0.32,0,0.16
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Causing death by criminal negligence while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Dangerous operation causing death while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Dangerous operation of motor vehicle while street racing,0.08,0.57,0.24,0.48,0.24
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total Federal Statute violations,277.04,263.31,267.04,280.48,256.65
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total drug violations,260.93,245.69,246.86,254.46,236.06
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Possession, cannabis",145.87,140.83,153.41,151.9,137.28
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Possession, cocaine",33.04,22.59,18.96,22.6,25.15
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total, possession, other Controlled Drugs and Substances Act drugs",19.74,21.61,21.14,29.52,30.65
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Heroin, possession",0.25,0.08,0.16,0.24,0.31
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Other Controlled Drugs and Substances Act, possession",18.58,17.78,15.49,19.49,17.29
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Methamphetamines (crystal meth), possession",0.25,1.79,3.55,7.8,11.24
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Methylenedioxyamphetamine (ecstasy), possession",0.66,1.96,1.94,1.99,1.81
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total cannabis, trafficking, production or distribution",26.1,28.62,26.71,26.26,20.27
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Cannabis, trafficking",18.75,22.02,20.09,19.97,14.14
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Cannabis, importation and exportation",0.83,0.49,0.56,0.32,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Cannabis, production",6.53,6.12,6.05,5.97,6.13
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total cocaine, trafficking, production or distribution",27.92,21.69,16.14,14.48,14.07
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Cocaine, trafficking",27.42,21.12,15.74,14.32,13.59
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Cocaine, importation and exportation",0.08,0.16,0.24,0,0.31
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Cocaine, production",0.41,0.41,0.16,0.16,0.16
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",8.26,10.36,10.49,9.71,8.64
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Heroin, trafficking",0.25,0.16,0.48,0.16,0.24
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Other Controlled Drugs and Substances Act, trafficking",6.77,5.79,5.89,5.89,3.54
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Methamphetamines (crystal meth), trafficking",0,0.41,1.21,1.43,2.44
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Methylenedioxyamphetamine (ecstasy), trafficking",0.08,0.9,0.56,0.16,0.47
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Heroin, importation and exportation",0.08,0.08,0.08,0.08,0.08
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Other Controlled Drugs and Substances Act, importation and exportation",0.58,2.2,1.45,1.35,1.26
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Methamphetamines (crystal meth), importation and exportation",,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Heroin, production",,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Other Controlled Drugs and Substances Act, production",0.5,0.82,0.81,0.64,0.63
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Methamphetamines (crystal meth), production",,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Methylenedioxyamphetamine (ecstasy), production",,,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)","Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Youth Criminal Justice Act,4.46,4.89,4.36,3.1,5.03
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total other Federal Statutes,11.65,12.72,15.82,22.92,15.56
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Bankruptcy Act,0.41,0.08,0,0.64,0.47
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Income Tax Act,0.08,0.16,0.08,0,0.24
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Canada Shipping Act,2.4,3.02,4.84,2.86,3.22
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Canada Health Act,0,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Customs Act,0.58,0.24,0.24,0.08,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Competition Act,0,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Excise Act,4.05,4,2.34,2.07,1.81
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Total Immigration and Refugee Protection Act (46),0.99,0.98,0.65,0.64,0.79
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Firearms Act,0.08,0.82,0.48,0.48,0.39
"Ottawa-Gatineau, Ontario/Quebec (6,52)",National Defense Act,0,0,0,0,0
"Ottawa-Gatineau, Ontario/Quebec (6,52)",Other federal statutes,3.06,3.42,7.18,16.15,8.64
"Ottawa-Gatineau, Ontario part (6,52)","Total, all violations",5318.88,5090.04,4815.51,4656.03,4591.94
"Ottawa-Gatineau, Ontario part (6,52)","Total, all Criminal Code violations (including traffic)",5083.15,4880.23,4601.38,4428.99,4387.18
"Ottawa-Gatineau, Ontario part (6,52)","Total, all Criminal Code violations (excluding traffic)",4751.65,4552.38,4289.57,4140.54,4102.14
"Ottawa-Gatineau, Ontario part (6,52)",Total violent Criminal Code violations (16),780.54,769.52,710.26,659.87,644.39
"Ottawa-Gatineau, Ontario part (6,52)","Homicide (17,24)",1.2,1.08,1.39,1.16,0.73
"Ottawa-Gatineau, Ontario part (6,52)",Total other violations causing death,0.11,0,0.21,0.11,0.1
"Ottawa-Gatineau, Ontario part (6,52)",Attempted murder,1.64,1.73,1.82,0.85,1.05
"Ottawa-Gatineau, Ontario part (6,52)","Sexual assault, level 3, aggravated",0.66,0.22,0.54,0.32,0.73
"Ottawa-Gatineau, Ontario part (6,52)","Sexual assault, level 2, weapon or bodily harm",0.33,1.08,0.75,0.74,0.63
"Ottawa-Gatineau, Ontario part (6,52)","Sexual assault, level 1",35.86,31.56,41.17,38.21,40.56
"Ottawa-Gatineau, Ontario part (6,52)",Total sexual violations against children (26),2.84,3.46,6,9.53,5.23
"Ottawa-Gatineau, Ontario part (6,52)","Assault, level 3, aggravated",9.95,12.21,8.79,8.68,7.84
"Ottawa-Gatineau, Ontario part (6,52)","Assault, level 2, weapon or bodily harm",74.35,75.56,65.19,57.69,55.71
"Ottawa-Gatineau, Ontario part (6,52)","Assault, level 1",278.91,267.32,244.9,236.15,233.4
"Ottawa-Gatineau, Ontario part (6,52)","Total assaults against a peace officer (25,35)",17.71,21.94,18.12,17.15,18.4
"Ottawa-Gatineau, Ontario part (6,52)",Total other assaults,34.99,41.83,43.1,37.26,37.94
"Ottawa-Gatineau, Ontario part (6,52)","Total firearms; use of, discharge, pointing",3.39,3.03,2.9,4.13,3.76
"Ottawa-Gatineau, Ontario part (6,52)",Total robbery (18),95.01,109.18,88.78,88.28,81.32
"Ottawa-Gatineau, Ontario part (6,52)",Total forcible confinement or kidnapping (34),15.96,12.43,6.76,7.2,7.84
"Ottawa-Gatineau, Ontario part (6,52)",Total abduction,0.11,0.65,0.97,0.95,0.94
"Ottawa-Gatineau, Ontario part (6,52)",Extortion,3.61,7.03,2.9,2.33,2.51
"Ottawa-Gatineau, Ontario part (6,52)",Criminal harassment (36),29.74,29.73,29.06,26.78,25.61
"Ottawa-Gatineau, Ontario part (6,52)",Uttering threats,79.6,72.31,71.41,61.18,67.31
"Ottawa-Gatineau, Ontario part (6,52)",Threatening or harassing phone calls,90.31,73.07,68.62,56.21,46.1
"Ottawa-Gatineau, Ontario part (6,52)",Total other violent violations,4.26,4.11,6.86,4.97,6.69
"Ottawa-Gatineau, Ontario part (6,52)",Total property crime violations,3499.23,3378.37,3042.75,2971.64,2959.39
"Ottawa-Gatineau, Ontario part (6,52)",Total breaking and entering,394.8,355.52,316.75,292.78,295.28
"Ottawa-Gatineau, Ontario part (6,52)","Total possession of stolen property (42,46)",52.81,54.16,56.94,30.7,18.08
"Ottawa-Gatineau, Ontario part (6,52)","Total trafficking in stolen property (42,43,46)",0,0,0,0,0.21
"Ottawa-Gatineau, Ontario part (6,52)",Total theft of motor vehicle (46),200.3,196.73,137.57,124.06,135.15
"Ottawa-Gatineau, Ontario part (6,52)","Total theft over $5,000 (non-motor vehicle)",28.43,29.4,28.95,25.62,31.57
"Ottawa-Gatineau, Ontario part (6,52)","Total theft under $5,000 (non-motor vehicle)",1532.64,1587.36,1499.02,1558.75,1561.48
"Ottawa-Gatineau, Ontario part (6,52)",Fraud (30),330.41,288.29,263.99,251.82,268.42
"Ottawa-Gatineau, Ontario part (6,52)",Identity theft (30),0,0,1.72,1.91,1.25
"Ottawa-Gatineau, Ontario part (6,52)",Identity fraud (30),,,17.05,35.78,45.57
"Ottawa-Gatineau, Ontario part (6,52)",Total mischief,937.87,842.16,700.61,634.36,584.92
"Ottawa-Gatineau, Ontario part (6,52)",Arson,21.98,24.75,20.16,15.88,17.46
"Ottawa-Gatineau, Ontario part (6,52)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Total other Criminal Code violations,471.89,404.49,536.56,509.03,498.37
"Ottawa-Gatineau, Ontario part (6,52)",Counterfeiting (19),0.98,1.62,0.11,0.32,0.52
"Ottawa-Gatineau, Ontario part (6,52)",Total weapons violations,27.77,21.62,21.55,21.28,21.95
"Ottawa-Gatineau, Ontario part (6,52)","Child pornography (27,50,52)",1.2,1.3,13.51,37.89,35.43
"Ottawa-Gatineau, Ontario part (6,52)",Total prostitution,8.2,5.4,3.32,2.01,4.6
"Ottawa-Gatineau, Ontario part (6,52)",Disturb the peace (21),21.87,21.84,40.42,27.1,16.41
"Ottawa-Gatineau, Ontario part (6,52)",Total administration of justice violations,284.92,251.97,376.68,331.95,340.02
"Ottawa-Gatineau, Ontario part (6,52)",Total other violations,126.94,100.74,80.96,88.49,79.44
"Ottawa-Gatineau, Ontario part (6,52)",Total Criminal Code traffic violations,331.5,327.85,311.81,288.44,285.04
"Ottawa-Gatineau, Ontario part (6,52)",Total impaired driving (49),107.37,97.83,98.86,87.11,85.92
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation, causing death",0.22,0.11,0.32,0.11,0.1
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation (drugs), causing death",,,0,0,0.1
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation, causing bodily harm",0.22,0.86,0.43,0.11,0.52
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation of motor vehicle, vessel or aircraft (51)",92.82,81.29,82.99,72.93,71.39
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation (drugs) vehicle, vessel, aircraft",0.44,2.05,0.97,1.91,1.57
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation, failure to provide breath sample",13.12,13.19,13.51,11.86,11.92
"Ottawa-Gatineau, Ontario part (6,52)",Failure to comply or refusal (drugs),0.11,0.22,0.11,0,0.21
"Ottawa-Gatineau, Ontario part (6,52)","Impaired operation, failure to provide blood sample",0.44,0.11,0.54,0.21,0.1
"Ottawa-Gatineau, Ontario part (6,52)",Failure to provide blood sample (drugs),,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Total other Criminal Code traffic violations,224.13,230.02,212.95,201.33,199.12
"Ottawa-Gatineau, Ontario part (6,52)","Dangerous operation, causing death",0.22,0,0.32,0.11,0
"Ottawa-Gatineau, Ontario part (6,52)","Dangerous operation, causing bodily harm",0.87,1.08,0.97,0.53,0.63
"Ottawa-Gatineau, Ontario part (6,52)","Dangerous operation of motor vehicle, vessel or aircraft",13.78,14.38,12.97,11.33,12.23
"Ottawa-Gatineau, Ontario part (6,52)","Dangerous operation evading police, causing death",0,0,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)","Dangerous operation evading police, causing bodily harm",0,0.11,0.11,0.11,0
"Ottawa-Gatineau, Ontario part (6,52)",Dangerous operation of motor vehicle evading police,0.98,1.41,1.39,0.95,0.84
"Ottawa-Gatineau, Ontario part (6,52)",Total fail to stop or remain (46),199.53,201.81,186.57,176.98,176.23
"Ottawa-Gatineau, Ontario part (6,52)",Driving while prohibited,8.31,10.27,9.97,10.8,8.78
"Ottawa-Gatineau, Ontario part (6,52)",Other Criminal Code traffic violations,0.33,0.22,0.32,0,0.21
"Ottawa-Gatineau, Ontario part (6,52)",Causing death by criminal negligence while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Dangerous operation causing death while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Ottawa-Gatineau, Ontario part (6,52)",Dangerous operation of motor vehicle while street racing,0.11,0.76,0.32,0.53,0.21
"Ottawa-Gatineau, Ontario part (6,52)",Total Federal Statute violations,235.72,209.81,214.13,227.05,204.76
"Ottawa-Gatineau, Ontario part (6,52)",Total drug violations,218.89,188.95,191.18,196.14,183.96
"Ottawa-Gatineau, Ontario part (6,52)","Possession, cannabis",109.66,100.31,110.66,120.14,106.93
