"REF_DATE","GEO","DGUID","Homicides","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961","British Columbia","2016A000259","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400201","11.4","","..","","","2"
"1961","Yukon","2016A000260","Number of homicide victims","Number","223","units","0","v1540444","12.1","1","","","","0"
"1961","Yukon","2016A000260","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540445","12.2","6.84","","","","2"
"1961","Yukon","2016A000260","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400202","12.3","","..","","","2"
"1961","Yukon","2016A000260","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400203","12.4","","..","","","2"
"1961","Northwest Territories including Nunavut","","Number of homicide victims","Number","223","units","0","v1540446","13.1","0","","","t","0"
"1961","Northwest Territories including Nunavut","","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540447","13.2","0.00","","","t","2"
"1961","Northwest Territories including Nunavut","","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400204","13.3","","..","","t","2"
"1961","Northwest Territories including Nunavut","","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400205","13.4","","..","","t","2"
"1961","Northwest Territories","2016A000261","Number of homicide victims","Number","223","units","0","v1540450","15.1","","..","","","0"
"1961","Northwest Territories","2016A000261","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540451","15.2","","..","","","2"
"1961","Northwest Territories","2016A000261","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400208","15.3","","..","","","2"
"1961","Northwest Territories","2016A000261","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400209","15.4","","..","","","2"
"1961","Nunavut","2016A000262","Number of homicide victims","Number","223","units","0","v1540448","14.1","","..","","","0"
"1961","Nunavut","2016A000262","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540449","14.2","","..","","","2"
"1961","Nunavut","2016A000262","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400206","14.3","","..","","","2"
"1961","Nunavut","2016A000262","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400207","14.4","","..","","","2"
"1962","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1540422","1.1","265","","","","0"
"1962","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540423","1.2","1.43","","","","2"
"1962","Canada","2016A000011124","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400180","1.3","11.62","","","","2"
"1962","Canada","2016A000011124","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400181","1.4","","..","","","2"
"1962","Newfoundland and Labrador","2016A000210","Number of homicide victims","Number","223","units","0","v1540424","2.1","0","","","","0"
"1962","Newfoundland and Labrador","2016A000210","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540425","2.2","0.00","","","","2"
"1962","Newfoundland and Labrador","2016A000210","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400182","2.3","-100.00","","","","2"
"1962","Newfoundland and Labrador","2016A000210","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400183","2.4","","..","","","2"
"1962","Prince Edward Island","2016A000211","Number of homicide victims","Number","223","units","0","v1540426","3.1","1","","","","0"
"1962","Prince Edward Island","2016A000211","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540427","3.2","0.93","","","","2"
"1962","Prince Edward Island","2016A000211","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400184","3.3","-2.32","","","","2"
"1962","Prince Edward Island","2016A000211","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400185","3.4","","..","","","2"
"1962","Nova Scotia","2016A000212","Number of homicide victims","Number","223","units","0","v1540428","4.1","10","","","","0"
"1962","Nova Scotia","2016A000212","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540429","4.2","1.34","","","","2"
"1962","Nova Scotia","2016A000212","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400186","4.3","64.68","","","","2"
"1962","Nova Scotia","2016A000212","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400187","4.4","","..","","","2"
"1962","New Brunswick","2016A000213","Number of homicide victims","Number","223","units","0","v1540430","5.1","8","","","","0"
"1962","New Brunswick","2016A000213","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540431","5.2","1.32","","","","2"
"1962","New Brunswick","2016A000213","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400188","5.3","295.40","","","","2"
"1962","New Brunswick","2016A000213","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400189","5.4","","..","","","2"
"1962","Quebec","2016A000224","Number of homicide victims","Number","223","units","0","v1540432","6.1","62","","","","0"
"1962","Quebec","2016A000224","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540433","6.2","1.15","","","","2"
"1962","Quebec","2016A000224","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400190","6.3","16.75","","","","2"
"1962","Quebec","2016A000224","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400191","6.4","","..","","","2"
"1962","Ontario","2016A000235","Number of homicide victims","Number","223","units","0","v1540434","7.1","76","","","","0"
"1962","Ontario","2016A000235","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540435","7.2","1.20","","","","2"
"1962","Ontario","2016A000235","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400192","7.3","-16.16","","","","2"
"1962","Ontario","2016A000235","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400193","7.4","","..","","","2"
"1962","Manitoba","2016A000246","Number of homicide victims","Number","223","units","0","v1540436","8.1","19","","","","0"
"1962","Manitoba","2016A000246","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540437","8.2","2.03","","","","2"
"1962","Manitoba","2016A000246","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400194","8.3","24.75","","","","2"
"1962","Manitoba","2016A000246","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400195","8.4","","..","","","2"
"1962","Saskatchewan","2016A000247","Number of homicide victims","Number","223","units","0","v1540438","9.1","13","","","","0"
"1962","Saskatchewan","2016A000247","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540439","9.2","1.40","","","","2"
"1962","Saskatchewan","2016A000247","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400196","9.3","-7.62","","","","2"
"1962","Saskatchewan","2016A000247","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400197","9.4","","..","","","2"
"1962","Alberta","2016A000248","Number of homicide victims","Number","223","units","0","v1540440","10.1","18","","","","0"
"1962","Alberta","2016A000248","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540441","10.2","1.31","","","","2"
"1962","Alberta","2016A000248","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400198","10.3","-2.71","","","","2"
"1962","Alberta","2016A000248","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400199","10.4","","..","","","2"
"1962","British Columbia","2016A000259","Number of homicide victims","Number","223","units","0","v1540442","11.1","55","","","","0"
"1962","British Columbia","2016A000259","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540443","11.2","3.31","","","","2"
"1962","British Columbia","2016A000259","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400200","11.3","58.73","","","","2"
"1962","British Columbia","2016A000259","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400201","11.4","","..","","","2"
"1962","Yukon","2016A000260","Number of homicide victims","Number","223","units","0","v1540444","12.1","3","","","","0"
"1962","Yukon","2016A000260","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540445","12.2","19.99","","","","2"
"1962","Yukon","2016A000260","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400202","12.3","192.35","","","","2"
"1962","Yukon","2016A000260","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400203","12.4","","..","","","2"
"1962","Northwest Territories including Nunavut","","Number of homicide victims","Number","223","units","0","v1540446","13.1","0","","","t","0"
"1962","Northwest Territories including Nunavut","","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540447","13.2","0.00","","","t","2"
"1962","Northwest Territories including Nunavut","","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400204","13.3","","..","","t","2"
"1962","Northwest Territories including Nunavut","","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400205","13.4","","..","","t","2"
"1962","Northwest Territories","2016A000261","Number of homicide victims","Number","223","units","0","v1540450","15.1","","..","","","0"
"1962","Northwest Territories","2016A000261","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540451","15.2","","..","","","2"
"1962","Northwest Territories","2016A000261","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400208","15.3","","..","","","2"
"1962","Northwest Territories","2016A000261","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400209","15.4","","..","","","2"
"1962","Nunavut","2016A000262","Number of homicide victims","Number","223","units","0","v1540448","14.1","","..","","","0"
"1962","Nunavut","2016A000262","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540449","14.2","","..","","","2"
"1962","Nunavut","2016A000262","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400206","14.3","","..","","","2"
"1962","Nunavut","2016A000262","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400207","14.4","","..","","","2"
"1963","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1540422","1.1","250","","","","0"
"1963","Canada","2016A000011124","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540423","1.2","1.32","","","","2"
"1963","Canada","2016A000011124","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400180","1.3","-7.39","","","","2"
"1963","Canada","2016A000011124","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400181","1.4","","..","","","2"
"1963","Newfoundland and Labrador","2016A000210","Number of homicide victims","Number","223","units","0","v1540424","2.1","3","","","","0"
"1963","Newfoundland and Labrador","2016A000210","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540425","2.2","0.63","","","","2"
"1963","Newfoundland and Labrador","2016A000210","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400182","2.3","","..","","","2"
"1963","Newfoundland and Labrador","2016A000210","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400183","2.4","","..","","","2"
"1963","Prince Edward Island","2016A000211","Number of homicide victims","Number","223","units","0","v1540426","3.1","0","","","","0"
"1963","Prince Edward Island","2016A000211","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540427","3.2","0.00","","","","2"
"1963","Prince Edward Island","2016A000211","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400184","3.3","-100.00","","","","2"
"1963","Prince Edward Island","2016A000211","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400185","3.4","","..","","","2"
"1963","Nova Scotia","2016A000212","Number of homicide victims","Number","223","units","0","v1540428","4.1","6","","","","0"
"1963","Nova Scotia","2016A000212","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540429","4.2","0.80","","","","2"
"1963","Nova Scotia","2016A000212","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400186","4.3","-40.38","","","","2"
"1963","Nova Scotia","2016A000212","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400187","4.4","","..","","","2"
"1963","New Brunswick","2016A000213","Number of homicide victims","Number","223","units","0","v1540430","5.1","5","","","","0"
"1963","New Brunswick","2016A000213","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540431","5.2","0.82","","","","2"
"1963","New Brunswick","2016A000213","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400188","5.3","-37.91","","","","2"
"1963","New Brunswick","2016A000213","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400189","5.4","","..","","","2"
"1963","Quebec","2016A000224","Number of homicide victims","Number","223","units","0","v1540432","6.1","69","","","","0"
"1963","Quebec","2016A000224","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540433","6.2","1.26","","","","2"
"1963","Quebec","2016A000224","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400190","6.3","9.06","","","","2"
"1963","Quebec","2016A000224","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400191","6.4","","..","","","2"
"1963","Ontario","2016A000235","Number of homicide victims","Number","223","units","0","v1540434","7.1","76","","","","0"
"1963","Ontario","2016A000235","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540435","7.2","1.17","","","","2"
"1963","Ontario","2016A000235","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400192","7.3","-2.01","","","","2"
"1963","Ontario","2016A000235","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400193","7.4","","..","","","2"
"1963","Manitoba","2016A000246","Number of homicide victims","Number","223","units","0","v1540436","8.1","16","","","","0"
"1963","Manitoba","2016A000246","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540437","8.2","1.69","","","","2"
"1963","Manitoba","2016A000246","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400194","8.3","-16.95","","","","2"
"1963","Manitoba","2016A000246","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400195","8.4","","..","","","2"
"1963","Saskatchewan","2016A000247","Number of homicide victims","Number","223","units","0","v1540438","9.1","8","","","","0"
"1963","Saskatchewan","2016A000247","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540439","9.2","0.86","","","","2"
"1963","Saskatchewan","2016A000247","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400196","9.3","-38.64","","","","2"
"1963","Saskatchewan","2016A000247","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400197","9.4","","..","","","2"
"1963","Alberta","2016A000248","Number of homicide victims","Number","223","units","0","v1540440","10.1","27","","","","0"
"1963","Alberta","2016A000248","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540441","10.2","1.92","","","","2"
"1963","Alberta","2016A000248","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400198","10.3","46.36","","","","2"
"1963","Alberta","2016A000248","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400199","10.4","","..","","","2"
"1963","British Columbia","2016A000259","Number of homicide victims","Number","223","units","0","v1540442","11.1","36","","","","0"
"1963","British Columbia","2016A000259","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540443","11.2","2.12","","","","2"
"1963","British Columbia","2016A000259","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400200","11.3","-36.04","","","","2"
"1963","British Columbia","2016A000259","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400201","11.4","","..","","","2"
"1963","Yukon","2016A000260","Number of homicide victims","Number","223","units","0","v1540444","12.1","3","","","","0"
"1963","Yukon","2016A000260","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540445","12.2","20.01","","","","2"
"1963","Yukon","2016A000260","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400202","12.3","0.14","","","","2"
"1963","Yukon","2016A000260","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400203","12.4","","..","","","2"
"1963","Northwest Territories including Nunavut","","Number of homicide victims","Number","223","units","0","v1540446","13.1","1","","","t","0"
"1963","Northwest Territories including Nunavut","","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540447","13.2","3.89","","","t","2"
"1963","Northwest Territories including Nunavut","","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400204","13.3","","..","","t","2"
"1963","Northwest Territories including Nunavut","","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400205","13.4","","..","","t","2"
"1963","Northwest Territories","2016A000261","Number of homicide victims","Number","223","units","0","v1540450","15.1","","..","","","0"
"1963","Northwest Territories","2016A000261","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540451","15.2","","..","","","2"
"1963","Northwest Territories","2016A000261","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400208","15.3","","..","","","2"
"1963","Northwest Territories","2016A000261","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400209","15.4","","..","","","2"
"1963","Nunavut","2016A000262","Number of homicide victims","Number","223","units","0","v1540448","14.1","","..","","","0"
"1963","Nunavut","2016A000262","Homicide rates per 100,000 population","Rate per 100,000 population","265","units","0","v1540449","14.2","","..","","","2"
"1963","Nunavut","2016A000262","Year-over-year percentage change in homicide rates","Percentage","242","units","0","v21400206","14.3","","..","","","2"
"1963","Nunavut","2016A000262","Percentage change in homicide rates, 10-year comparison","Percentage","242","units","0","v21400207","14.4","","..","","","2"
"1964","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1540422","1.1","253","","","","0"
