"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000300306","200.1.15","1107","","","","0"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000300306","200.1.15","958","","","","0"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000300307","200.1.16","","..","","","2"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000300307","200.1.16","","..","","","2"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000300307","200.1.16","0.86","","","","2"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000300307","200.1.16","0.68","","","","2"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000300307","200.1.16","0.56","","","","2"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000300307","200.1.16","0.45","","","","2"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000300307","200.1.16","1.00","","","","2"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000300307","200.1.16","0.80","","","","2"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000300307","200.1.16","0.57","","","","2"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total cleared","Number","223","units","0","v69380255","200.1.4","45460","","","","0"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total cleared","Number","223","units","0","v69380255","200.1.4","45532","","","","0"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total cleared","Number","223","units","0","v69380255","200.1.4","45714","","","","0"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total cleared","Number","223","units","0","v69380255","200.1.4","43610","","","","0"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total cleared","Number","223","units","0","v69380255","200.1.4","45050","","","","0"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total cleared","Number","223","units","0","v69380255","200.1.4","35631","","","","0"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total cleared","Number","223","units","0","v69380255","200.1.4","34277","","","","0"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total cleared","Number","223","units","0","v69380255","200.1.4","37166","","","","0"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total cleared","Number","223","units","0","v69380255","200.1.4","43213","","","","0"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared by charge","Number","223","units","0","v69380256","200.1.5","34222","","","","0"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared by charge","Number","223","units","0","v69380256","200.1.5","34722","","","","0"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared by charge","Number","223","units","0","v69380256","200.1.5","35287","","","","0"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared by charge","Number","223","units","0","v69380256","200.1.5","34610","","","","0"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared by charge","Number","223","units","0","v69380256","200.1.5","35897","","","","0"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared by charge","Number","223","units","0","v69380256","200.1.5","29040","","","","0"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared by charge","Number","223","units","0","v69380256","200.1.5","28466","","","","0"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared by charge","Number","223","units","0","v69380256","200.1.5","30996","","","","0"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared by charge","Number","223","units","0","v69380256","200.1.5","37067","","","","0"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v69380257","200.1.6","11238","","","","0"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v69380257","200.1.6","10810","","","","0"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v69380257","200.1.6","10427","","","","0"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v69380257","200.1.6","9000","","","","0"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v69380257","200.1.6","9153","","","","0"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v69380257","200.1.6","6591","","","","0"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v69380257","200.1.6","5811","","","","0"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v69380257","200.1.6","6170","","","","0"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v69380257","200.1.6","6146","","","","0"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, persons charged","Number","223","units","0","v69380258","200.1.7","32886","","","","0"
"2016","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, persons charged","Number","223","units","0","v69380258","200.1.7","33438","","","","0"
"2017","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, persons charged","Number","223","units","0","v69380258","200.1.7","33563","","","","0"
"2018","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, persons charged","Number","223","units","0","v69380258","200.1.7","32159","","","","0"
"2019","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, persons charged","Number","223","units","0","v69380258","200.1.7","32916","","","","0"
"2020","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, persons charged","Number","223","units","0","v69380258","200.1.7","26653","","","","0"
"2021","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, persons charged","Number","223","units","0","v69380258","200.1.7","26382","","","","0"
"2022","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, persons charged","Number","223","units","0","v69380258","200.1.7","28305","","","","0"
"2023","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Total, persons charged","Number","223","units","0","v69380258","200.1.7","33617","","","","0"
"2015","Toronto, Ontario, municipal [35304]","2021A002535304","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v69380259","200.1.8","1335.66","","","","2"
