,,,"Fredericton, City [Census subdivision], New Brunswick",,,,,,"New Brunswick [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Marital status","    Separated",,    1520,,     595,,     925,,   21290,,    9530,,   11760,
"Marital status","    Divorced",,    3185,,    1060,,    2125,,   35680,,   15275,,   20405,
"Marital status","    Widowed",,    2930,,     510,,    2425,,   41965,,    8805,,   33160,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   15990,,,...,,...,  222865,,,...,,...
"Family characteristics","  2 persons",,    9170,,,...,,...,  129065,,,...,,...
"Family characteristics","  3 persons",,    3285,,,...,,...,   47015,,,...,,...
"Family characteristics","  4 persons",,    2625,,,...,,...,   34860,,,...,,...
"Family characteristics","  5 or more persons",,     910,,,...,,...,   11920,,,...,,...
"Family characteristics","Average size of census families",,    2.7,,,...,,...,    2.7,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   15990,,,...,,...,  222865,,,...,,...
"Family characteristics","  Total couple families",,   13305,,,...,,...,  186680,,,...,,...
"Family characteristics","    Married couples",,   10695,,,...,,...,  147900,,,...,,...
"Family characteristics","    Common-law couples",,    2610,,,...,,...,   38780,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    2685,,,...,,...,   36185,,,...,,...
"Family characteristics","    Female parent",,    2230,,,...,,...,   28650,,,...,,...
"Family characteristics","    Male parent",,     455,,,...,,...,    7530,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   13305,,,...,,...,  186675,,,...,,...
"Family characteristics","  Couples without children",,    7410,,,...,,...,  105625,,,...,,...
"Family characteristics","  Couples with children",,    5900,,,...,,...,   81060,,,...,,...
"Family characteristics","    1 child",,    2575,,,...,,...,   37440,,,...,,...
"Family characteristics","    2 children",,    2450,,,...,,...,   32380,,,...,,...
"Family characteristics","    3 or more children",,     870,,,...,,...,   11235,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    2685,,,...,,...,   36185,,,...,,...
"Family characteristics","  1 child",,    1760,,,...,,...,   23440,,,...,,...
"Family characteristics","  2 children",,     715,,,...,,...,    9570,,,...,,...
"Family characteristics","  3 or more children",,     215,,,...,,...,    3170,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   13425,,    6100,,    7325,,  128775,,   61010,,   67770,
