,,,"Fredericton, City [Census subdivision], New Brunswick",,,,,,"New Brunswick [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Income of households in 2015","  $50;000 to $59;999",,    2595,,,...,,...,   32930,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    2195,,,...,,...,   29175,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    1740,,,...,,...,   23970,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    1555,,,...,,...,   19330,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    1190,,,...,,...,   15105,,,...,,...
"Income of households in 2015","  $100;000 and over",,    4520,,,...,,...,   48225,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    2110,,,...,,...,   25135,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    1145,,,...,,...,   11980,,,...,,...
"Income of households in 2015","    $150;000 and over",,    1265,,,...,,...,   11110,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,   16080,,,...,,...,  221680,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   80575,,,...,,...,   74353,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   69882,,,...,,...,   65100,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      2.8,,,...,,...,      2.8,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,    7155,,,...,,...,   99865,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   78936,,,...,,...,   67988,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   68663,,,...,,...,   59801,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,    5930,,,...,,...,   82260,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  106452,,,...,,...,  100315,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   89847,,,...,,...,   85717,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      3.8,,,...,,...,      3.8,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,    2575,,,...,,...,   33580,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   44345,,,...,,...,   42992,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   41728,,,...,,...,   40671,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.5,,,...,,...,      2.6,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,   16095,,,...,,...,  221740,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,   95332,,,...,,...,   87048,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   78796,,,...,,...,   73197,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,    7170,,,...,,...,   99840,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,   92958,,,...,,...,   79085,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   76692,,,...,,...,   66576,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,    5930,,,...,,...,   82415,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  118878,,,...,,...,  111901,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,   96922,,,...,,...,   92699,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,    2560,,,...,,...,   33455,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   51593,,,...,,...,   51119,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   45612,,,...,,...,   45687,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,   12430,,    5660,,    6765,,  114825,,   54970,,   59850,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   28418,,   27832,,   28699,,   27250,,   30122,,   25182,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   26272,,   25796,,   26707,,   25167,,   27154,,   23916,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,   12330,,    5600,,    6725,,  114375,,   54300,,   60075,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   36318,,   35751,,   36790,,   34738,,   37330,,   32395,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   31048,,   30265,,   31700,,   29845,,   31431,,   28411,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,   56990,,   27205,,   29785,,  730710,,  357860,,  372850,
"Income of economic families in 2015","  In the bottom half of the distribution",,   31470,,   14685,,   16785,,  428180,,  204170,,  224005,
"Income of economic families in 2015","    In the bottom decile",,    8550,,    4080,,    4465,,   80120,,   37430,,   42695,
"Income of economic families in 2015","    In the second decile",,    6215,,    2765,,    3450,,   94165,,   42190,,   51980,
"Income of economic families in 2015","    In the third decile",,    5775,,    2720,,    3055,,   87075,,   41905,,   45170,
"Income of economic families in 2015","    In the fourth decile",,    5510,,    2585,,    2925,,   85610,,   42275,,   43335,
"Income of economic families in 2015","    In the fifth decile",,    5420,,    2530,,    2895,,   81200,,   40375,,   40825,
"Income of economic families in 2015","  In the top half of the distribution",,   25520,,   12520,,   12995,,  302530,,  153685,,  148845,
"Income of economic families in 2015","    In the sixth decile",,    5605,,    2700,,    2900,,   77345,,   38915,,   38425,
"Income of economic families in 2015","    In the seventh decile",,    5370,,    2635,,    2735,,   73185,,   37190,,   36005,
"Income of economic families in 2015","    In the eighth decile",,    5380,,    2600,,    2780,,   65090,,   32815,,   32275,
"Income of economic families in 2015","    In the ninth decile",,    5015,,    2505,,    2515,,   52050,,   26635,,   25410,
"Income of economic families in 2015","    In the top decile",,    4155,,    2080,,    2070,,   34860,,   18130,,   16730,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,   56990,,   27205,,   29785,,  722550,,  353870,,  368680,
"Low income in 2015","  0 to 17 years",,   10370,,    5200,,    5165,,  131930,,   67285,,   64645,
"Low income in 2015","    0 to 5 years",,    3535,,    1770,,    1765,,   40900,,   20805,,   20100,
"Low income in 2015","  18 to 64 years",,   37000,,   17805,,   19200,,  452805,,  221675,,  231130,
"Low income in 2015","  65 years and over",,    9625,,    4200,,    5425,,  137820,,   64915,,   72905,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,   10770,,    4890,,    5880,,  123820,,   55990,,   67825,
"Low income in 2015","  0 to 17 years",,    2795,,    1445,,    1350,,   29250,,   14930,,   14320,
"Low income in 2015","    0 to 5 years",,    1020,,     520,,     505,,   10285,,    5260,,    5030,
"Low income in 2015","  18 to 64 years",,    6775,,    3075,,    3705,,   66745,,   29975,,   36770,
"Low income in 2015","  65 years and over",,    1195,,     375,,     825,,   27830,,   11090,,   16745,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     18.9,,     18.0,,     19.7,,     17.1,,     15.8,,     18.4,
"Low income in 2015","  0 to 17 years (%)",,     27.0,,     27.8,,     26.1,,     22.2,,     22.2,,     22.2,
"Low income in 2015","    0 to 5 years (%)",,     28.9,,     29.4,,     28.6,,     25.1,,     25.3,,     25.0,
"Low income in 2015","  18 to 64 years (%)",,     18.3,,     17.3,,     19.3,,     14.7,,     13.5,,     15.9,
"Low income in 2015","  65 years and over (%)",,     12.4,,      8.9,,     15.2,,     20.2,,     17.1,,     23.0,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,    7230,,    3490,,    3740,,   49830,,   24165,,   25660,
"Low income in 2015","  0 to 17 years",,    1705,,     875,,     825,,   11520,,    5890,,    5630,
"Low income in 2015","    0 to 5 years",,     625,,     320,,     305,,    4200,,    2145,,    2055,
"Low income in 2015","  18 to 64 years",,    5285,,    2530,,    2750,,   35680,,   17255,,   18425,
"Low income in 2015","  65 years and over",,     245,,      85,,     155,,    2630,,    1025,,    1605,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,     12.7,,     12.8,,     12.6,,      6.9,,      6.8,,      7.0,
"Low income in 2015","  0 to 17 years (%)",,     16.4,,     16.8,,     16.0,,      8.7,,      8.8,,      8.7,
"Low income in 2015","    0 to 5 years (%)",,     17.7,,     18.1,,     17.3,,     10.3,,     10.3,,     10.2,
"Low income in 2015","  18 to 64 years (%)",,     14.3,,     14.2,,     14.3,,      7.9,,      7.8,,      8.0,
"Low income in 2015","  65 years and over (%)",,      2.5,,      2.0,,      2.9,,      1.9,,      1.6,,      2.2,
"Knowledge of languages","Total - Knowledge of languages for the population in private households - 25% sample data",44,   56990,,   27205,,   29785,,  730710,,  357855,,  372850,
"Knowledge of languages","  Official languages",,   56375,,   26935,,   29440,,  728310,,  356615,,  371690,
"Knowledge of languages","    English",,   56175,,   26805,,   29370,,  666315,,  326905,,  339415,
"Knowledge of languages","    French",,   13445,,    5905,,    7535,,  310550,,  147845,,  162705,
"Knowledge of languages","  Non-official languages",,    7215,,    3615,,    3600,,   34880,,   17355,,   17525,
"Knowledge of languages","    Aboriginal languages",,     120,,      50,,      65,,    3065,,    1470,,    1595,
"Knowledge of languages","      Algonquian languages",,     100,,      50,,      50,,    2990,,    1455,,    1540,
"Knowledge of languages","        Blackfoot",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Cree-Montagnais languages",,      10,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Northern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Plains Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Swampy Cree",,       0,,       0,,      10,,       0,,       0,,      10,
"Knowledge of languages","          Woods Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Cree; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Eastern Algonquian languages",,     100,,      50,,      45,,    2965,,    1435,,    1530,
"Knowledge of languages","          Malecite",,      40,,      25,,      10,,     720,,     335,,     385,
"Knowledge of languages","          Mi'kmaq",,      60,,      25,,      35,,    2265,,    1115,,    1150,
"Knowledge of languages","        Ojibway-Potawatomi languages",,       0,,       0,,       0,,      15,,      15,,       0,
"Knowledge of languages","          Algonquin",,       0,,       0,,       0,,       0,,      10,,       0,
"Knowledge of languages","          Ojibway",,       0,,       0,,       0,,      10,,      10,,       0,
"Knowledge of languages","          Oji-Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Ottawa (Odawa)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Athabaskan languages",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","        Northern Athabaskan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Carrier",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Dene",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Dogrib (Tlicho)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Slavey-Hare languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Haida",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Inuit languages",,      15,,       0,,      10,,      55,,      10,,      45,
"Knowledge of languages","        Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Inuktitut",,      15,,       0,,      15,,      45,,      10,,      40,
"Knowledge of languages","        Inuit languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Iroquoian languages",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","        Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Mohawk",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","        Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Michif",,       0,,       0,,       0,,      10,,      10,,       0,
"Knowledge of languages","      Salish languages",,       0,,       0,,       0,,       0,,      10,,       0,
"Knowledge of languages","        Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Siouan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Dakota",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Siouan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Tsimshian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Nisga'a",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Tsimshian",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Aboriginal languages; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","    Non-Aboriginal languages",,    7110,,    3565,,    3545,,   31865,,   15915,,   15955,
"Knowledge of languages","      Afro-Asiatic languages",,    1370,,     695,,     670,,    4355,,    2385,,    1980,
"Knowledge of languages","        Berber languages",,       0,,       0,,       0,,      80,,      40,,      35,
"Knowledge of languages","          Kabyle",,       0,,       0,,       0,,      40,,      20,,      15,
"Knowledge of languages","          Berber languages; n.i.e.",,       0,,       0,,       0,,      40,,      25,,      20,
"Knowledge of languages","        Cushitic languages",,       0,,       0,,       0,,      15,,      10,,       0,
"Knowledge of languages","          Bilen",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Oromo",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Somali",,       0,,       0,,       0,,      10,,      10,,       0,
"Knowledge of languages","          Cushitic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Semitic languages",,    1365,,     695,,     670,,    4300,,    2340,,    1960,
"Knowledge of languages","          Amharic",,      55,,      30,,      25,,     165,,     100,,      65,
"Knowledge of languages","          Arabic",,    1105,,     565,,     545,,    3685,,    2030,,    1660,
"Knowledge of languages","          Assyrian Neo-Aramaic",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Chaldean Neo-Aramaic",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Harari",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Hebrew",,     205,,      95,,     105,,     435,,     205,,     230,
"Knowledge of languages","          Maltese",,       0,,      10,,       0,,       0,,      10,,       0,
"Knowledge of languages","          Tigrigna",,      10,,       0,,       0,,      50,,      25,,      25,
"Knowledge of languages","          Semitic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,      15,,      15,,       0,
"Knowledge of languages","      Austro-Asiatic languages",,     280,,     155,,     130,,     835,,     430,,     400,
"Knowledge of languages","        Khmer (Cambodian)",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","        Vietnamese",,     280,,     155,,     125,,     820,,     435,,     390,
"Knowledge of languages","        Austro-Asiatic languages; n.i.e.",,      10,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","      Austronesian languages",,     170,,      65,,     100,,    1790,,     695,,    1090,
"Knowledge of languages","        Bikol",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","        Cebuano",,      10,,       0,,       0,,     185,,      70,,     115,
"Knowledge of languages","        Fijian",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Hiligaynon",,       0,,       0,,       0,,      35,,      10,,      30,
"Knowledge of languages","        Ilocano",,      10,,       0,,      10,,      50,,      10,,      45,
"Knowledge of languages","        Malagasy",,       0,,       0,,       0,,      25,,      10,,      15,
"Knowledge of languages","        Malay",,      30,,      10,,      15,,      75,,      20,,      55,
"Knowledge of languages","        Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Pangasinan",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Tagalog (Pilipino; Filipino)",,     120,,      50,,      65,,    1595,,     625,,     970,
"Knowledge of languages","        Waray-Waray",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Austronesian languages; n.i.e.",,       0,,       0,,       0,,      20,,      15,,       0,
"Knowledge of languages","      Creole languages",,      10,,      10,,       0,,     430,,     195,,     235,
"Knowledge of languages","        Haitian Creole",,       0,,       0,,       0,,      50,,      20,,      30,
"Knowledge of languages","        Creole; n.o.s.",,      15,,      10,,      10,,     240,,     105,,     135,
"Knowledge of languages","        Creole languages; n.i.e.",,       0,,       0,,       0,,     140,,      75,,      65,
"Knowledge of languages","      Dravidian languages",,     150,,      75,,      75,,     435,,     245,,     195,
"Knowledge of languages","        Kannada",,      15,,      10,,      10,,      60,,      30,,      25,
"Knowledge of languages","        Malayalam",,       0,,       0,,       0,,      55,,      35,,      25,
"Knowledge of languages","        Tamil",,     100,,      55,,      40,,     190,,     115,,      75,
"Knowledge of languages","        Telugu",,      70,,      30,,      40,,     175,,      90,,      85,
"Knowledge of languages","        Dravidian languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,      10,
"Knowledge of languages","      Hmong-Mien languages",,       0,,       0,,       0,,      10,,      10,,       0,
"Knowledge of languages","      Indo-European languages",,    3440,,    1665,,    1775,,   16505,,    8155,,    8350,
"Knowledge of languages","        Albanian",,      45,,      20,,      20,,      80,,      45,,      35,
"Knowledge of languages","        Armenian",,      45,,      20,,      30,,      60,,      35,,      25,
"Knowledge of languages","        Balto-Slavic languages",,     680,,     335,,     345,,    2065,,    1100,,     965,
"Knowledge of languages","          Baltic languages",,      10,,      10,,      10,,      55,,      40,,      20,
"Knowledge of languages","            Latvian",,       0,,       0,,       0,,      20,,      10,,      10,
"Knowledge of languages","            Lithuanian",,      10,,      10,,       0,,      30,,      20,,      10,
"Knowledge of languages","          Slavic languages",,     670,,     330,,     345,,    2025,,    1070,,     955,
"Knowledge of languages","            Belarusan",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","            Bosnian",,      20,,      10,,      15,,      75,,      40,,      40,
"Knowledge of languages","            Bulgarian",,      20,,       0,,      20,,      45,,      15,,      35,
"Knowledge of languages","            Croatian",,      25,,      10,,      15,,      95,,      45,,      55,
"Knowledge of languages","            Czech",,      20,,      10,,      10,,     115,,      65,,      45,
"Knowledge of languages","            Macedonian",,      10,,      10,,       0,,      35,,      25,,      10,
"Knowledge of languages","            Polish",,      80,,      35,,      45,,     320,,     165,,     160,
"Knowledge of languages","            Russian",,     460,,     245,,     215,,    1200,,     630,,     570,
"Knowledge of languages","            Serbian",,      30,,      20,,      10,,      90,,      70,,      20,
"Knowledge of languages","            Serbo-Croatian",,      10,,       0,,      10,,      40,,      30,,      10,
"Knowledge of languages","            Slovak",,       0,,       0,,      10,,      45,,      15,,      30,
"Knowledge of languages","            Slovene (Slovenian)",,       0,,       0,,      10,,      15,,      10,,       0,
"Knowledge of languages","            Ukrainian",,      75,,      25,,      55,,     310,,     145,,     165,
"Knowledge of languages","            Slavic languages; n.i.e.",,       0,,       0,,       0,,      10,,      10,,      10,
"Knowledge of languages","        Celtic languages",,      35,,      15,,      20,,     140,,      40,,     100,
"Knowledge of languages","          Scottish Gaelic",,      15,,      10,,      10,,      95,,      20,,      75,
"Knowledge of languages","          Welsh",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Celtic languages; n.i.e.",,      15,,      10,,      10,,      40,,      20,,      20,
"Knowledge of languages","        Germanic languages",,     630,,     320,,     305,,    4745,,    2360,,    2380,
"Knowledge of languages","          Afrikaans",,      10,,      10,,       0,,     130,,      70,,      60,
"Knowledge of languages","          Danish",,      25,,      10,,      10,,     155,,      60,,      95,
"Knowledge of languages","          Dutch",,     165,,      75,,      90,,    1185,,     560,,     625,
"Knowledge of languages","          Frisian",,       0,,       0,,       0,,      50,,      40,,      15,
"Knowledge of languages","          German",,     440,,     240,,     200,,    3260,,    1675,,    1580,
"Knowledge of languages","          Icelandic",,       0,,       0,,       0,,      10,,      10,,       0,
"Knowledge of languages","          Norwegian",,      10,,      10,,      10,,     130,,      65,,      65,
"Knowledge of languages","          Swedish",,      10,,      10,,      10,,     110,,      45,,      60,
"Knowledge of languages","          Vlaams (Flemish)",,       0,,       0,,       0,,      40,,      20,,      25,
"Knowledge of languages","          Yiddish",,       0,,       0,,       0,,      20,,      20,,       0,
"Knowledge of languages","          Germanic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Greek",,      55,,      25,,      25,,     220,,     125,,      95,
"Knowledge of languages","        Indo-Iranian languages",,    1020,,     525,,     495,,    2325,,    1275,,    1050,
"Knowledge of languages","          Indo-Aryan languages",,     670,,     360,,     315,,    1570,,     875,,     695,
"Knowledge of languages","            Bengali",,     100,,      75,,      25,,     225,,     150,,      80,
"Knowledge of languages","            Gujarati",,      25,,      15,,      15,,     110,,      45,,      65,
"Knowledge of languages","            Hindi",,     325,,     160,,     155,,     790,,     430,,     355,
"Knowledge of languages","            Kashmiri",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Konkani",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Marathi",,      15,,      10,,       0,,      55,,      20,,      30,
"Knowledge of languages","            Nepali",,     165,,      80,,      90,,     185,,      90,,      95,
"Knowledge of languages","            Oriya (Odia)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Punjabi (Panjabi)",,      70,,      35,,      35,,     205,,     130,,      75,
"Knowledge of languages","            Sindhi",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Sinhala (Sinhalese)",,      15,,      10,,       0,,      35,,      10,,      20,
"Knowledge of languages","            Urdu",,     110,,      60,,      50,,     355,,     215,,     140,
"Knowledge of languages","          Iranian languages",,     375,,     180,,     190,,     805,,     430,,     375,
"Knowledge of languages","            Kurdish",,      45,,      15,,      25,,     130,,      65,,      60,
"Knowledge of languages","            Pashto",,      35,,      20,,      15,,      60,,      45,,      20,
"Knowledge of languages","            Persian (Farsi)",,     295,,     145,,     150,,     620,,     330,,     285,
"Knowledge of languages","          Indo-Iranian languages; n.i.e.",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","        Italic (Romance) languages",,    1075,,     465,,     610,,    7600,,    3540,,    4055,
"Knowledge of languages","          Catalan",,      10,,      10,,       0,,      15,,      10,,       0,
"Knowledge of languages","          Italian",,     110,,      35,,      75,,     825,,     405,,     420,
"Knowledge of languages","          Portuguese",,      80,,      40,,      40,,     450,,     250,,     200,
"Knowledge of languages","          Romanian",,      15,,      10,,      10,,     555,,     290,,     265,
"Knowledge of languages","          Spanish",,     920,,     405,,     515,,    6065,,    2775,,    3290,
"Knowledge of languages","          Italic (Romance) languages; n.i.e.",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","      Japanese",,      95,,      35,,      55,,     430,,     190,,     240,
"Knowledge of languages","      Kartvelian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Georgian",,       0,,       0,,       0,,       0,,       0,,       0,
