,,"Property Crime Rates (per 100,000 population)",,,,
Nova Scotia,Total property crime violations,4158.95,4174.62,4321.74,4009.24,3932.45
Nova Scotia,Total breaking and entering,542.74,541.59,557.48,502.82,508.49
Nova Scotia,Breaking and entering,542.2,540.85,555.78,499.86,504.9
Nova Scotia,Breaking and entering to steal a firearm,0.43,0.53,1.06,2.53,2.74
Nova Scotia,Break and enter to steal a firearm from a motor vehicle,0.11,0.21,0.63,0.42,0.84
Nova Scotia,"Total possession of stolen property (42,46)",234.67,239.54,246.94,125.26,69.15
Nova Scotia,"Total trafficking in stolen property (42,43,46)",0,0,0,0.42,1.37
Nova Scotia,Total theft of motor vehicle (46),168.22,139.6,135.53,136.96,139.88
Nova Scotia,"Total theft over $5,000 (non-motor vehicle)",28.16,25.3,29.62,29.31,29.62
Nova Scotia,"Theft over $5,000",23.04,21.9,23.07,25.2,24.77
Nova Scotia,"Theft over $5,000 from a motor vehicle",4.48,2.98,5.08,3.69,4.22
Nova Scotia,"Shoplifting over $5,000",0.64,0.43,1.48,0.42,0.63
Nova Scotia,"Total theft under $5,000 (non-motor vehicle)",1489,1563.1,1703.96,1652.47,1701.18
Nova Scotia,"Theft $5,000 or under",1001.84,978.35,1066.39,998.88,961
Nova Scotia,"Theft $5,000 or under from a motor vehicle",387.42,476.2,516.85,482.15,530.52
Nova Scotia,"Shoplifting $5,000 or under",99.74,108.55,120.72,171.44,209.66
Nova Scotia,Fraud (30),293.98,275.37,253.5,243.66,242.97
Nova Scotia,Identity theft (30),0,0,3.7,3.48,2.32
Nova Scotia,Identity fraud (30),,,6.14,12.44,16.87
Nova Scotia,Total mischief,1356.95,1346.11,1339.68,1262.26,1169.82
Nova Scotia,Mischief,1356.95,1346.11,1339.36,1262.26,1169.71
Nova Scotia,Mischief to religious property motivated by hate,,,0.32,0,0.11
Nova Scotia,Arson,45.23,44.02,45.18,40.17,50.49
Nova Scotia,"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0.32
New Brunswick,Total property crime violations,3423.3,3343.71,3292.64,3040.11,3229.45
New Brunswick,Total breaking and entering,510.9,463.63,485.2,450.53,480.19
New Brunswick,Breaking and entering,510.9,463.23,484.13,448.15,478.07
New Brunswick,Breaking and entering to steal a firearm,0,0.27,0.53,1.32,1.19
New Brunswick,Break and enter to steal a firearm from a motor vehicle,0,0.13,0.53,1.06,0.93
New Brunswick,"Total possession of stolen property (42,46)",47.4,56.14,49.28,43.56,41.93
New Brunswick,"Total trafficking in stolen property (42,43,46)",0,0,0,0.26,1.32
New Brunswick,Total theft of motor vehicle (46),172.04,171.48,165.5,161.39,151.2
New Brunswick,"Total theft over $5,000 (non-motor vehicle)",33.61,36.54,31.48,31.64,30.82
New Brunswick,"Theft over $5,000",27.71,30.27,26.56,27.14,26.59
New Brunswick,"Theft over $5,000 from a motor vehicle",4.42,5.2,3.32,4.37,3.7
New Brunswick,"Shoplifting over $5,000",1.47,1.07,1.59,0.13,0.53
New Brunswick,"Total theft under $5,000 (non-motor vehicle)",1344.87,1289.03,1346.94,1214.83,1319.4
New Brunswick,"Theft $5,000 or under",838.66,820.06,820.57,717.69,723.46
New Brunswick,"Theft $5,000 or under from a motor vehicle",312.09,275.09,326.34,331.11,384.68
New Brunswick,"Shoplifting $5,000 or under",194.13,193.88,200.03,166.02,211.26
New Brunswick,Fraud (30),256.26,222.82,197.77,202.56,216.42
New Brunswick,Identity theft (30),0,0,4.25,3.84,1.59
New Brunswick,Identity fraud (30),,,8.77,9.66,9.52
New Brunswick,Total mischief,996.91,1043.41,947.15,861.87,921.89
New Brunswick,Mischief,996.91,1043.28,947.01,861.74,921.89
New Brunswick,Mischief to religious property motivated by hate,0,0.13,0.13,0.13,0
New Brunswick,Arson,61.32,60.67,56.32,59.97,54.9
New Brunswick,"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0.26
Quebec (50),Total property crime violations,3481.59,3386.06,3119.36,2861.5,2703.3
Quebec (50),Total breaking and entering,731.85,744.31,677.36,632.03,572.64
Quebec (50),Breaking and entering,731.72,743.89,675.5,629.83,570.68
Quebec (50),Breaking and entering to steal a firearm,0.06,0.14,0.73,1.12,0.98
Quebec (50),Break and enter to steal a firearm from a motor vehicle,0.06,0.28,1.13,1.08,0.98
Quebec (50),"Total possession of stolen property (42,46)",41.3,40.21,43.28,28.18,23.33
Quebec (50),"Total trafficking in stolen property (42,43,46)",0,0,0.09,2.44,3.17
Quebec (50),Total theft of motor vehicle (46),404.57,348.33,305.92,280.5,258.48
Quebec (50),"Total theft over $5,000 (non-motor vehicle)",57.52,54.59,56.01,53.77,52.09
Quebec (50),"Theft over $5,000",41.4,37.73,40.47,38.67,35.93
Quebec (50),"Theft over $5,000 from a motor vehicle",15.06,15.74,14.5,13.96,15.06
Quebec (50),"Shoplifting over $5,000",1.06,1.11,1.05,1.14,1.1
Quebec (50),"Total theft under $5,000 (non-motor vehicle)",1362.72,1303.75,1195.05,1071.95,1017.91
Quebec (50),"Theft $5,000 or under",665.23,566.29,517.72,477.76,455.43
Quebec (50),"Theft $5,000 or under from a motor vehicle",507.33,522.16,494.39,412.21,374.61
Quebec (50),"Shoplifting $5,000 or under",190.16,215.3,182.95,181.98,187.86
Quebec (50),Fraud (30),209.69,208.5,163.54,158.64,170.04
Quebec (50),Identity theft (30),0,0,14.45,37,33.28
Quebec (50),Identity fraud (30),1.08,6.52,32.97,37.11,36.39
Quebec (50),Total mischief,624.55,631.82,585.48,525.23,497.37
Quebec (50),Mischief,624.46,631.26,584.95,524.89,496.91
Quebec (50),Mischief to religious property motivated by hate,0.09,0.56,0.53,0.34,0.46
Quebec (50),Arson,48.31,48.02,45.21,34.16,37.8
Quebec (50),"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0.49,0.79
