"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000201810","38.1.15","2062","","","","0"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000201810","38.1.15","1936","","","","0"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000201811","38.1.16","","..","","","2"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000201811","38.1.16","","..","","","2"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000201811","38.1.16","5.90","","","","2"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000201811","38.1.16","5.59","","","","2"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000201811","38.1.16","5.68","","","","2"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000201811","38.1.16","5.95","","","","2"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000201811","38.1.16","5.99","","","","2"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000201811","38.1.16","4.46","","","","2"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000201811","38.1.16","3.65","","","","2"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total cleared","Number","223","units","0","v68869955","38.1.4","20308","","","","0"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total cleared","Number","223","units","0","v68869955","38.1.4","19841","","","","0"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total cleared","Number","223","units","0","v68869955","38.1.4","19818","","","","0"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total cleared","Number","223","units","0","v68869955","38.1.4","19785","","","","0"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total cleared","Number","223","units","0","v68869955","38.1.4","18497","","","","0"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total cleared","Number","223","units","0","v68869955","38.1.4","15702","","","","0"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total cleared","Number","223","units","0","v68869955","38.1.4","14135","","","","0"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total cleared","Number","223","units","0","v68869955","38.1.4","15537","","","","0"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Total cleared","Number","223","units","0","v68869955","38.1.4","16723","","","","0"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared by charge","Number","223","units","0","v68869956","38.1.5","16195","","","","0"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared by charge","Number","223","units","0","v68869956","38.1.5","16019","","","","0"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared by charge","Number","223","units","0","v68869956","38.1.5","15460","","","","0"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared by charge","Number","223","units","0","v68869956","38.1.5","15824","","","","0"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared by charge","Number","223","units","0","v68869956","38.1.5","15114","","","","0"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared by charge","Number","223","units","0","v68869956","38.1.5","13498","","","","0"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared by charge","Number","223","units","0","v68869956","38.1.5","12394","","","","0"
"2022","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared by charge","Number","223","units","0","v68869956","38.1.5","13400","","","","0"
"2023","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared by charge","Number","223","units","0","v68869956","38.1.5","14261","","","","0"
"2015","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v68869957","38.1.6","4113","","","","0"
"2016","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v68869957","38.1.6","3822","","","","0"
"2017","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v68869957","38.1.6","4358","","","","0"
"2018","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v68869957","38.1.6","3961","","","","0"
"2019","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v68869957","38.1.6","3383","","","","0"
"2020","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v68869957","38.1.6","2204","","","","0"
"2021","Peel Region (Mississauga/Brampton), Ontario, municipal [35041]","2021A002535041","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v68869957","38.1.6","1741","","","","0"
