,,,"Brampton, City [Census subdivision], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Marital status","    Never married",,  139855,,   74635,,   65220,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,   11990,,    4600,,    7390,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,   19960,,    7420,,   12535,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,   20230,,    3960,,   16270,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,  164525,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,   56460,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,   39955,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,   47710,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,   20395,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    3.2,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,  164525,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,  135955,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,  126360,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,    9600,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,   28565,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,   23475,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,    5090,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,  135960,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   41360,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,   94600,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,   31035,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,   44440,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,   19125,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,   28565,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,   15100,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,    8920,,,...,,...,  186240,,,...,,...
"Family characteristics","  3 or more children",,    4545,,,...,,...,   72310,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   59490,,   27955,,   31535,, 2139825,,  990525,, 1149300,
"Household type","Total - Private households by household type - 100% data",12,  168010,,,...,,..., 5169175,,,...,,...
"Household type","  One-census-family households",,  123170,,,...,,..., 3481885,,,...,,...
"Household type","    Without children in a census family",13,   25755,,,...,,..., 1311575,,,...,,...
"Household type","    With children in a census family",14,   97415,,,...,,..., 2170315,,,...,,...
"Household type","  Multiple-census-family households",,   19475,,,...,,...,  145615,,,...,,...
"Household type","  Non-census-family households",,   25365,,,...,,..., 1541665,,,...,,...
"Household type","    One-person households",,   20820,,,...,,..., 1341305,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    4545,,,...,,...,  200365,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  591670,,  292690,,  298975,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,  532650,,  268950,,  263690,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,     500,,     215,,     280,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,   30200,,   13075,,   17120,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,   28325,,   10445,,   17880,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  591670,,  292690,,  298980,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,  554455,,  278140,,  276315,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,    4935,,    2285,,    2650,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,    4350,,    2010,,    2335,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,   27935,,   10260,,   17680,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,    7105,,    3290,,    3820,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    1.2,,    1.1,,    1.3,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  591670,,  292690,,  298980,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,  560895,,  277335,,  283565,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,  289355,,  143270,,  146080,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,  284920,,  141210,,  143710,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,    4430,,    2060,,    2375,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,  271545,,  134065,,  137480,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,      25,,      10,,      10,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,      10,,       5,,       5,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,       5,,       5,,       0,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,     355,,     135,,     225,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","            Cree; n.o.s.",,       5,,       5,,       5,,    4500,,    2255,,    2245,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Malecite",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","            Mi'kmaq",,       5,,       0,,       0,,      85,,      35,,      50,
"Mother tongue","          Ojibway-Potawatomi languages",,       5,,       0,,       5,,   16025,,    7620,,    8400,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,      65,,      30,,      35,
"Mother tongue","            Ojibway",,       0,,       0,,       0,,    9505,,    4515,,    4985,
"Mother tongue","            Oji-Cree",,       5,,       0,,       0,,    6310,,    3015,,    3300,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     145,,      65,,      80,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      30,,      20,,      10,
"Mother tongue","        Athabaskan languages",,       5,,       0,,       5,,      60,,      20,,      40,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,      55,,      20,,      35,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       5,,       5,,       0,,       5,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","            Dene",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      10,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,     475,,     165,,     305,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,     425,,     145,,     280,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,     710,,     300,,     410,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,     590,,     255,,     335,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      15,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       0,,       0,,       0,,      25,,      15,,      15,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Dakota",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       5,,       0,,       5,,     235,,     130,,     105,
"Mother tongue","      Non-Aboriginal languages",,  271520,,  134055,,  137465,, 3531160,, 1679300,, 1851865,
"Mother tongue","        Afro-Asiatic languages",,    8195,,    4155,,    4045,,  253830,,  127720,,  126110,
"Mother tongue","          Berber languages",,       5,,       5,,       5,,     725,,     405,,     320,
"Mother tongue","            Kabyle",,       0,,       5,,       0,,     425,,     225,,     200,
"Mother tongue","            Berber languages; n.i.e.",,       0,,       5,,       0,,     305,,     180,,     120,
"Mother tongue","          Cushitic languages",,     640,,     300,,     335,,   24605,,   10730,,   13870,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     250,,     140,,     110,
"Mother tongue","            Oromo",,      55,,      25,,      25,,    1445,,     720,,     730,
